timestamp,cpu_usage,mem_usage,net_sent,net_received,anomaly
2025-12-01 17:32:39.820058+00:00,64.491979,10051584.0,172679686.0,15647287.0,1
2025-12-01 17:32:45.482080+00:00,64.491979,10051584.0,173550154.0,15714637.0,1
2025-12-01 17:32:51.117754+00:00,64.636109,21323776.0,173550154.0,15714637.0,1
2025-12-01 17:32:56.523200+00:00,64.636109,21323776.0,173550154.0,15714637.0,1
2025-12-01 17:33:02.223989+00:00,64.705581,12894208.0,173550154.0,15714637.0,1
2025-12-01 17:33:07.714056+00:00,64.705581,12894208.0,173550154.0,15714637.0,1
2025-12-01 17:33:13.867676+00:00,64.705581,12894208.0,173921651.0,15765477.0,1
2025-12-01 17:33:19.639556+00:00,64.880116,14790656.0,173921651.0,15765477.0,1
2025-12-01 17:33:25.476455+00:00,64.880116,14790656.0,173921651.0,15765477.0,1
2025-12-01 17:33:31.508256+00:00,64.880116,14790656.0,173921651.0,15765477.0,1
2025-12-01 17:33:36.976485+00:00,64.880116,14790656.0,173921651.0,15765477.0,1
2025-12-01 17:33:42.171223+00:00,64.905214,9576448.0,174793633.0,15836040.0,1
2025-12-01 17:33:47.686160+00:00,64.905214,9576448.0,174793633.0,15836040.0,1
2025-12-01 17:33:53.088986+00:00,65.047747,14159872.0,174793633.0,15836040.0,1
2025-12-01 17:33:59.458639+00:00,65.047747,14159872.0,174793633.0,15836040.0,1
2025-12-01 17:34:05.464270+00:00,65.047747,14159872.0,174793633.0,15836040.0,1
2025-12-01 17:34:10.776073+00:00,65.096037,9371648.0,175151850.0,15886424.0,1
2025-12-01 17:34:16.706596+00:00,65.096037,9371648.0,175151850.0,15886424.0,1
2025-12-01 17:34:24.744559+00:00,65.240544,14635008.0,175151850.0,15886424.0,1
2025-12-01 17:34:31.989619+00:00,65.287521,14962688.0,175151850.0,15886424.0,1
2025-12-01 17:34:39.252756+00:00,65.287521,14962688.0,175151850.0,15886424.0,1
2025-12-01 17:34:44.878763+00:00,65.287521,14962688.0,175906156.0,15958684.0,1
2025-12-01 17:34:50.693992+00:00,65.51909,20242432.0,175906156.0,15958684.0,1
2025-12-01 17:34:56.017355+00:00,65.51909,20242432.0,175906156.0,15958684.0,1
2025-12-01 17:35:01.611352+00:00,65.51909,20242432.0,175906156.0,15958684.0,1
2025-12-01 17:35:08.345556+00:00,65.51909,20242432.0,175906156.0,15958684.0,1
2025-12-01 17:35:14.302673+00:00,65.544999,10063872.0,176396615.0,16010160.0,1
2025-12-01 17:35:20.034325+00:00,65.781613,15060992.0,176396615.0,16010160.0,1
2025-12-01 17:35:25.388717+00:00,65.781613,15060992.0,176396615.0,16010160.0,1
2025-12-01 17:35:30.822994+00:00,65.802338,12410880.0,176396615.0,16010160.0,1
2025-12-01 17:35:35.939978+00:00,65.802338,12410880.0,176396615.0,16010160.0,1
2025-12-01 17:35:41.146785+00:00,65.802338,12410880.0,176767639.0,16062888.0,1
2025-12-01 17:35:46.529569+00:00,65.802338,12410880.0,176767639.0,16062888.0,1
2025-12-01 17:35:51.971170+00:00,65.823165,10297344.0,176767639.0,16062888.0,1
2025-12-01 17:35:57.287528+00:00,65.823165,10297344.0,176767639.0,16062888.0,1
2025-12-01 17:36:02.583688+00:00,65.98272,13410304.0,176767639.0,16062888.0,1
2025-12-01 17:36:08.569893+00:00,65.98272,13410304.0,176767639.0,16062888.0,1
